global_step,epoch,batch,samples_seen,batch_size,train_loss,state_loss,control_loss,lr,elapsed_sec
169,2,15,21509,128,1.9468517303466797,1.9468517303466797,0.9229258298873901,0.001,3.657785654067993
170,2,16,21637,128,1.9283384084701538,1.9283384084701538,0.75867760181427,0.001,3.6753602027893066
171,2,17,21765,128,2.414813280105591,2.414813280105591,1.0855977535247803,0.001,3.693408250808716
172,2,18,21893,128,2.0619325637817383,2.0619325637817383,1.2004191875457764,0.001,3.7112233638763428
173,2,19,22021,128,2.0463006496429443,2.0463006496429443,1.0519158840179443,0.001,3.729210138320923
174,2,20,22149,128,2.547560691833496,2.547560691833496,0.9664601683616638,0.001,3.7469050884246826
175,2,21,22277,128,2.3996355533599854,2.3996355533599854,1.1243268251419067,0.001,3.764878273010254
176,2,22,22405,128,2.180422067642212,2.180422067642212,0.9501588344573975,0.001,3.7821691036224365
177,2,23,22533,128,2.1309561729431152,2.1309561729431152,1.2048174142837524,0.001,3.7995147705078125
178,2,24,22661,128,2.7492177486419678,2.7492177486419678,1.0118283033370972,0.001,3.81687593460083
179,2,25,22789,128,2.4864256381988525,2.4864256381988525,0.9451408386230469,0.001,3.834733009338379
180,2,26,22917,128,2.604511260986328,2.604511260986328,1.1122978925704956,0.001,3.852266788482666
181,2,27,23045,128,2.6000702381134033,2.6000702381134033,0.8272274732589722,0.001,3.8695931434631348
182,2,28,23173,128,2.4624316692352295,2.4624316692352295,1.71101975440979,0.001,3.8871569633483887
183,2,29,23301,128,2.168172597885132,2.168172597885132,0.64384925365448,0.001,3.9079155921936035
184,2,30,23429,128,2.1162376403808594,2.1162376403808594,0.8866284489631653,0.001,3.9266304969787598
185,2,31,23557,128,2.0580406188964844,2.0580406188964844,0.9782127141952515,0.001,3.9443984031677246
186,2,32,23685,128,2.301353693008423,2.301353693008423,1.2402931451797485,0.001,3.962477445602417
187,2,33,23813,128,2.616126298904419,2.616126298904419,1.2563632726669312,0.001,3.9800899028778076
188,2,34,23941,128,2.0826025009155273,2.0826025009155273,1.3430241346359253,0.001,3.997828245162964
189,2,35,24069,128,2.0765540599823,2.0765540599823,1.0231788158416748,0.001,4.017340898513794
190,2,36,24197,128,1.9655050039291382,1.9655050039291382,1.1496384143829346,0.001,4.034940242767334
191,2,37,24325,128,2.2925992012023926,2.2925992012023926,0.6845658421516418,0.001,4.053354978561401
192,2,38,24453,128,2.038513660430908,2.038513660430908,1.1710747480392456,0.001,4.0707848072052
193,2,39,24581,128,2.178964853286743,2.178964853286743,0.7138475179672241,0.001,4.087989091873169
194,2,40,24709,128,1.921006441116333,1.921006441116333,0.9146155118942261,0.001,4.106237411499023
195,2,41,24837,128,2.5179901123046875,2.5179901123046875,1.3321884870529175,0.001,4.124129295349121
196,2,42,24965,128,2.536609649658203,2.536609649658203,1.0895992517471313,0.001,4.141666889190674
197,2,43,25093,128,1.9547197818756104,1.9547197818756104,0.926642894744873,0.001,4.159454822540283
198,2,44,25221,128,2.396881103515625,2.396881103515625,0.920728862285614,0.001,4.17711615562439
199,2,45,25349,128,2.8146612644195557,2.8146612644195557,0.9294309616088867,0.001,4.194550275802612
200,2,46,25477,128,2.2729458808898926,2.2729458808898926,1.313165307044983,0.001,4.2118330001831055
201,2,47,25605,128,2.313678026199341,2.313678026199341,1.048721194267273,0.001,4.229593276977539
202,2,48,25733,128,2.5325100421905518,2.5325100421905518,1.0975770950317383,0.001,4.24688458442688
203,2,49,25861,128,1.977687954902649,1.977687954902649,1.107959270477295,0.001,4.264675617218018
204,2,50,25989,128,2.1670382022857666,2.1670382022857666,0.7483795285224915,0.001,4.282455205917358
205,2,51,26117,128,1.6669976711273193,1.6669976711273193,0.6955991983413696,0.001,4.300336122512817
206,2,52,26245,128,2.0329642295837402,2.0329642295837402,1.0952465534210205,0.001,4.31816840171814
207,2,53,26373,128,2.5704925060272217,2.5704925060272217,0.9838712811470032,0.001,4.335860252380371
208,2,54,26501,128,1.7773064374923706,1.7773064374923706,1.0551666021347046,0.001,4.353429794311523
209,2,55,26629,128,2.160756826400757,2.160756826400757,1.3457571268081665,0.001,4.371873617172241
210,2,56,26757,128,1.6332812309265137,1.6332812309265137,1.0622529983520508,0.001,4.390121698379517
211,2,57,26885,128,2.3537559509277344,2.3537559509277344,0.8429353833198547,0.001,4.407764434814453
212,2,58,27013,128,2.2186408042907715,2.2186408042907715,1.0648903846740723,0.001,4.4256532192230225
213,2,59,27141,128,1.9979206323623657,1.9979206323623657,0.9869781732559204,0.001,4.443683624267578
214,2,60,27269,128,2.018125534057617,2.018125534057617,1.1539915800094604,0.001,4.462157249450684
215,2,61,27397,128,2.058777093887329,2.058777093887329,1.1727443933486938,0.001,4.4805097579956055
216,2,62,27525,128,2.321866512298584,2.321866512298584,1.259307861328125,0.001,4.49871826171875
217,2,63,27653,128,2.035648822784424,2.035648822784424,1.0010615587234497,0.001,4.516433238983154
218,2,64,27781,128,1.6409655809402466,1.6409655809402466,1.1224563121795654,0.001,4.533886909484863
219,2,65,27909,128,2.3058934211730957,2.3058934211730957,1.05892014503479,0.001,4.551537275314331
220,2,66,28037,128,2.1350996494293213,2.1350996494293213,1.1328927278518677,0.001,4.569751024246216
221,2,67,28165,128,1.8213218450546265,1.8213218450546265,1.2718051671981812,0.001,4.58783745765686
222,2,68,28293,128,2.381697416305542,2.381697416305542,1.5211753845214844,0.001,4.6055285930633545
223,2,69,28421,128,2.2024309635162354,2.2024309635162354,1.0688934326171875,0.001,4.622938871383667
224,2,70,28549,128,1.9088168144226074,1.9088168144226074,1.2720190286636353,0.001,4.641338109970093
225,2,71,28677,128,1.855072021484375,1.855072021484375,0.9050559997558594,0.001,4.658916473388672
226,2,72,28805,128,1.7285295724868774,1.7285295724868774,1.2058124542236328,0.001,4.676607847213745
227,2,73,28933,128,2.218339681625366,2.218339681625366,1.0647997856140137,0.001,4.694638252258301
228,2,74,29061,128,1.9653652906417847,1.9653652906417847,1.046491265296936,0.001,4.712183952331543
