epoch,samples_seen,train_loss,train_state_loss,train_control_loss,val_loss,val_state_loss,val_control_loss,lr,elapsed_sec
1,19589,3.503591252611829,3.503591252611829,1.0798609672815769,2.198681453340932,2.198681453340932,0.7558643482625484,0.001,3.3366198539733887
2,39178,2.102996316049006,2.102996316049006,1.0847520030938185,2.5113906946621443,2.5113906946621443,0.759023493351905,0.001,6.712944984436035
3,58767,1.8593708431565916,1.8593708431565916,1.0891184218518146,2.216445661689106,2.216445661689106,0.7591518138192201,0.001,10.099818229675293
4,78356,1.6942331334213159,1.6942331334213159,1.082985498107873,1.5267331486469822,1.5267331486469822,0.75915303600854,0.001,13.483817338943481
5,97945,1.4757998550867106,1.4757998550867106,1.0836789983433563,1.415544063637131,1.415544063637131,0.75915303600854,0.001,16.876303672790527
6,117534,1.312108369616719,1.312108369616719,1.088409735397859,1.2837102797470594,1.2837102797470594,0.75915303600854,0.001,20.28045964241028
7,137123,1.2556004988682734,1.2556004988682734,1.0835363576551535,1.1220432065035169,1.1220432065035169,0.75915303600854,0.001,23.63183069229126
8,156712,1.1554970563232125,1.1554970563232125,1.0836822013189267,1.2161593535228779,1.2161593535228779,0.75915303600854,0.001,26.975997924804688
9,176301,1.1282593921407478,1.1282593921407478,1.0846235995942897,1.105604803875873,1.105604803875873,0.75915303600854,0.001,30.342061758041382
10,195890,1.062561380398738,1.062561380398738,1.0946048447838077,1.0832860046311428,1.0832860046311428,0.75915303600854,0.001,33.71335506439209
11,215479,1.0495857913772781,1.0495857913772781,1.0985268280877696,1.1195424716723592,1.1195424716723592,0.75915303600854,0.001,37.11689782142639
12,235068,1.0064775084520314,1.0064775084520314,1.0839432590193563,1.032316394542393,1.032316394542393,0.75915303600854,0.001,40.50108194351196
13,254657,0.9452933227861082,0.9452933227861082,1.0852030778860118,1.1836342393959824,1.1836342393959824,0.75915303600854,0.001,43.86937880516052
14,274246,0.9409229480600977,0.9409229480600977,1.08522537892515,1.0397700416414362,1.0397700416414362,0.75915303600854,0.001,47.27508735656738
15,293835,0.8979651852474584,0.8979651852474584,1.0843262691776474,1.2845129362846677,1.2845129362846677,0.75915303600854,0.001,50.67359495162964
16,313424,0.856391834167691,0.856391834167691,1.0869738266065523,0.9906539891503359,0.9906539891503359,0.75915303600854,0.001,54.09719395637512
17,333013,0.8070730474088099,0.8070730474088099,1.0859834965947386,1.0783496181431569,1.0783496181431569,0.75915303600854,0.001,57.47818875312805
18,352602,0.8101185544744715,0.8101185544744715,1.0833064698940749,0.9769628216561518,0.9769628216561518,0.75915303600854,0.001,60.85876202583313
19,372191,0.7948894494926775,0.7948894494926775,1.0923089694667172,1.012034835391923,1.012034835391923,0.75915303600854,0.001,64.24842810630798
20,391780,0.7652344326307248,0.7652344326307248,1.0873982647022644,1.2689326558458178,1.2689326558458178,0.75915303600854,0.001,67.61009621620178
21,411369,0.7552057835575822,0.7552057835575822,1.084393887937843,0.9635993285398734,0.9635993285398734,0.75915303600854,0.001,70.98309326171875
22,430958,0.705900208710076,0.705900208710076,1.0838576547511212,0.8846623646585565,0.8846623646585565,0.75915303600854,0.001,74.37411308288574
23,450547,0.7006404088302092,0.7006404088302092,1.0821888799984734,0.9537811942006412,0.9537811942006412,0.75915303600854,0.001,77.76574993133545
24,470136,0.7112970959830593,0.7112970959830593,1.0853905774556196,0.9565059215222534,0.9565059215222534,0.75915303600854,0.001,81.17018413543701
25,489725,0.6668508922705403,0.6668508922705403,1.0833310473274875,0.9266743934468219,0.9266743934468219,0.75915303600854,0.001,84.5606529712677
26,509314,0.6318854885054873,0.6318854885054873,1.0927661498645684,0.9815320419637781,0.9815320419637781,0.75915303600854,0.001,87.91575717926025
27,528903,0.6272694282717519,0.6272694282717519,1.0859675523522612,0.8548163940247736,0.8548163940247736,0.75915303600854,0.001,91.28523921966553
28,548492,0.5976609249006618,0.5976609249006618,1.0841298451671353,0.8350697022519613,0.8350697022519613,0.75915303600854,0.001,94.70446038246155
29,568081,0.5551347610625353,0.5551347610625353,1.0880117404770542,0.9018051279218573,0.9018051279218573,0.75915303600854,0.001,98.1314628124237
30,587670,0.5463504986716555,0.5463504986716555,1.0955481444086348,0.8646385624612632,0.8646385624612632,0.75915303600854,0.001,101.52973747253418
31,607259,0.5285928293869093,0.5285928293869093,1.083092438903722,0.8746285785577799,0.8746285785577799,0.75915303600854,0.001,104.9326696395874
32,626848,0.5386835284434356,0.5386835284434356,1.083821015311526,0.9056594130632124,0.9056594130632124,0.75915303600854,0.001,108.34971928596497
33,646437,0.5202408512304355,0.5202408512304355,1.0854314457286487,0.817082057069791,0.817082057069791,0.75915303600854,0.001,111.75624632835388
34,666026,0.5038118339204168,0.5038118339204168,1.0839369912426193,1.0697812445853885,1.0697812445853885,0.75915303600854,0.001,115.17494440078735
35,685615,0.4767043917597114,0.4767043917597114,1.0839289364876685,0.8260240635197413,0.8260240635197413,0.75915303600854,0.001,118.56107521057129
36,705204,0.4528728069423081,0.4528728069423081,1.0850903136389596,0.8829059604751436,0.8829059604751436,0.75915303600854,0.001,121.95373916625977
37,724793,0.45577282768178295,0.45577282768178295,1.0862422539042187,0.9493448363715097,0.9493448363715097,0.75915303600854,0.001,125.32934808731079
38,744382,0.4309042976661162,0.4309042976661162,1.0936882770680763,1.2542537201784159,1.2542537201784159,0.75915303600854,0.001,128.7081241607666
39,763971,0.4262076964626065,0.4262076964626065,1.0993680307617435,0.8750680947774335,0.8750680947774335,0.75915303600854,0.0005,132.1106276512146
40,783560,0.3516012362942293,0.3516012362942293,1.0833105710032698,0.8918425410397743,0.8918425410397743,0.75915303600854,0.0005,135.48543310165405
41,803149,0.33620678759240485,0.33620678759240485,1.0911211235956713,0.8898171045278248,0.8898171045278248,0.75915303600854,0.0005,138.86663675308228
42,822738,0.31681366042270287,0.31681366042270287,1.0833276459923038,0.8389004995360186,0.8389004995360186,0.75915303600854,0.0005,142.23653936386108
43,842327,0.3030854295213501,0.3030854295213501,1.0883296886821845,0.9307702415083584,0.9307702415083584,0.75915303600854,0.0005,145.6134810447693
44,861916,0.28853318230672315,0.28853318230672315,1.0834746498179126,0.8174675904998654,0.8174675904998654,0.75915303600854,0.0005,148.99154710769653
45,881505,0.28736111986172663,0.28736111986172663,1.1182697856581056,0.8257437200334511,0.8257437200334511,0.75915303600854,0.00025,152.36195731163025
46,901094,0.2678803586001907,0.2678803586001907,1.0826017450202594,0.8645881097763777,0.8645881097763777,0.75915303600854,0.00025,155.72827672958374
47,920683,0.24580713187332276,0.24580713187332276,1.0856750951958942,0.8552214738569761,0.8552214738569761,0.75915303600854,0.00025,159.11322283744812
48,940272,0.2389620053884271,0.2389620053884271,1.0871502791906331,0.8435653850044075,0.8435653850044075,0.75915303600854,0.00025,162.53705382347107
