global_step,epoch,batch,samples_seen,batch_size,train_loss,trajectory_loss,control_loss,regularization,lr,elapsed_sec
57,1,57,7296,128,28.280723571777344,28.189170837402344,0.02139700949192047,8.941261291503906,0.001,76.01278018951416
58,1,58,7424,128,24.526981353759766,24.43537139892578,0.027401477098464966,8.886895179748535,0.001,77.24849796295166
59,1,59,7552,128,31.25762367248535,31.16678237915039,0.028856491670012474,8.795458793640137,0.001,78.4805064201355
60,1,60,7680,128,27.728073120117188,27.639293670654297,0.024088719859719276,8.63698959350586,0.001,79.73060846328735
61,1,61,7808,128,33.161415100097656,33.07499694824219,0.02255353145301342,8.416301727294922,0.001,80.96642422676086
62,1,62,7936,128,25.587303161621094,25.50324821472168,0.022612038999795914,8.179378509521484,0.001,82.21374559402466
63,1,63,8064,128,36.18546676635742,36.10346221923828,0.024818403646349907,7.952245235443115,0.001,83.44893097877502
64,1,64,8192,128,24.965572357177734,24.886451721191406,0.022610271349549294,7.686111927032471,0.001,84.69680094718933
65,1,65,8320,128,27.26114273071289,27.184650421142578,0.021800754591822624,7.431288242340088,0.001,85.99754929542542
66,1,66,8448,128,34.28958511352539,34.215023040771484,0.02645808272063732,7.191370964050293,0.001,87.24791669845581
67,1,67,8576,128,26.334789276123047,26.262575149536133,0.02848775126039982,6.936461925506592,0.001,88.53921461105347
68,1,68,8704,128,26.588054656982422,26.518760681152344,0.02668124996125698,6.662478446960449,0.001,89.81382894515991
69,1,69,8832,128,29.448692321777344,29.382619857788086,0.021397842094302177,6.393282890319824,0.001,91.09005427360535
70,1,70,8960,128,24.609107971191406,24.5454158782959,0.02157144621014595,6.1534318923950195,0.001,92.37112808227539
71,1,71,9088,128,28.246707916259766,28.18431854248047,0.024325348436832428,5.995746612548828,0.001,93.62659573554993
72,1,72,9216,128,23.188777923583984,23.129047393798828,0.02196362055838108,5.753260612487793,0.001,94.85846948623657
73,1,73,9344,128,27.808143615722656,27.75009536743164,0.02412249520421028,5.563467025756836,0.001,96.12863206863403
74,1,74,9472,128,31.781967163085938,31.726516723632812,0.028758812695741653,5.257399559020996,0.001,97.38547706604004
75,1,75,9600,128,27.904212951660156,27.851598739624023,0.0261708851903677,4.999781131744385,0.001,98.69462251663208
76,1,76,9728,128,26.455595016479492,26.4056339263916,0.02811644971370697,4.714969635009766,0.001,99.97846817970276
77,1,77,9856,128,25.25005531311035,25.20223617553711,0.029257316142320633,4.4893574714660645,0.001,101.25099873542786
78,1,78,9984,128,29.137903213500977,29.09233283996582,0.024002516642212868,4.31711483001709,0.001,102.50368285179138
79,1,79,10112,128,27.456987380981445,27.412961959838867,0.026255173608660698,4.139993667602539,0.001,103.77424478530884
80,1,80,10240,128,28.547622680664062,28.504919052124023,0.024046335369348526,4.029766082763672,0.001,105.08122253417969
