epoch,samples_seen,train_loss,train_trajectory_loss,train_control_loss,train_reg_loss,val_loss,val_trajectory_loss,val_control_loss,val_reg_loss,lr,elapsed_sec
1,19589,18.185587870610224,17.783587864467076,4.010680598097962,0.09319369905543598,13.079220602386876,12.666899975977445,4.11492510532078,0.08281779930142588,0.001,23.29782509803772
2,39178,11.603404320679703,11.213833604540143,3.88646730354854,0.09240134053125784,10.61565501438944,10.261226952075958,3.534620087397726,0.09659537722013499,0.001,46.35684847831726
3,58767,9.671517511466881,9.288019471354298,3.82495577768846,0.1002459866176178,9.102867885639792,8.724430416759692,3.775309594053971,0.09064541350265867,0.001,69.86936402320862
4,78356,8.961712248913653,8.580515750042803,3.8009057710697123,0.11059575842378976,8.942948517046476,8.587650791594857,3.5416597880815206,0.11317825792847495,0.001,93.21254062652588
5,97945,8.019460408718555,7.6419356891087125,3.7633643382555477,0.11882866827117933,8.529686287829751,8.132773320925864,3.9575773352070858,0.11553116961333312,0.001,116.2954797744751
6,117534,7.709673658593909,7.332589517940175,3.7586672058353177,0.12174444539206368,9.05324555698194,8.671889399227343,3.8018012642860413,0.11760221821206965,0.001,139.76225757598877
7,137123,7.311598652369016,6.9364533122483785,3.738930810581554,0.12522402497661578,7.710076738344996,7.371564543560932,3.3728650557367423,0.12256396846159508,0.001,163.20411372184753
8,156712,7.054953333619353,6.679078575852629,3.7464721357667603,0.12275068539303619,7.133162799634431,6.74716781001342,3.847328245639801,0.1262185516473102,0.001,186.62725710868835
9,176301,6.85523340299532,6.478657216220707,3.7530824720085443,0.12679601477628405,7.934151985143361,7.57577372538416,3.5716817535852132,0.12100911454150551,0.001,209.66723608970642
10,195890,6.634865311833171,6.2586313996996195,3.749516861779349,0.12822469231950773,7.8277437969257955,7.447552019043973,3.7863938275136446,0.1552326713051451,0.001,233.19694256782532
11,215479,6.167339572658786,5.794084361621311,3.7196362854598406,0.1291593855561374,7.103285403628099,6.738748007699063,3.6341919114715173,0.11182152558314173,0.001,256.6099946498871
12,235068,5.953839585378573,5.578450950709256,3.740810714758836,0.13075806935886283,11.204188974280106,10.872649180261712,3.2995006316586544,0.15897222284815812,0.001,279.59515404701233
13,254657,6.43207249780754,6.0586116019781535,3.7212494720112193,0.13359498160032482,6.442659908219388,6.075514813787059,3.658624479645177,0.1282677131852037,0.001,302.9818046092987
14,274246,5.776920207135089,5.403931382414583,3.716664462894588,0.13223767614403328,7.505452331743743,7.136347136999431,3.6801309554200423,0.10921546865842845,0.001,326.57528376579285
15,293835,5.422501999062377,5.045304505856006,3.7582162804417796,0.1375882068721505,8.130072979550613,7.740847672286787,3.8784029483795166,0.13850792938549267,0.001,349.6600832939148
16,313424,5.540875487513357,5.160271254452792,3.791922820078862,0.14119463984842423,6.717503026912087,6.347887644642277,3.6818714361441764,0.14282889321054282,0.001,373.0909457206726
17,333013,4.957836538166195,4.57057265027777,3.8565466775522603,0.16092114479510816,6.4507455857176526,6.065874234626167,3.831250953046899,0.17462210425812946,0.001,396.49957823753357
18,352602,5.084883233169457,4.691721944065837,3.914717319723848,0.16895833369586374,6.639469607880241,6.262874910705968,3.7498792535380314,0.16067390506596943,0.001,419.7543623447418
19,372191,5.030760128776748,4.630542793057182,3.9836927141462053,0.18480502015777997,5.907508610110534,5.5042531913832615,4.01488155753989,0.17672579382595263,0.001,443.2203185558319
20,391780,4.760374907549325,4.361543154561675,3.968820647759871,0.1949682142827418,6.213497831633217,5.823264339252522,3.883443757107383,0.1889128852635622,0.001,466.72466564178467
21,411369,4.647228912873701,4.243291038971443,4.018521316639789,0.20857612396796027,6.555326734718523,6.1701242531600755,3.8312895611712805,0.20734849258473045,0.001,489.9597747325897
22,430958,4.63200947603622,4.227226434589981,4.026166274950102,0.21664109651918534,6.32001321409878,5.9494920294535785,3.6847795122548153,0.20433234658680463,0.001,513.4918200969696
23,450547,4.6683679091465935,4.264553342546735,4.016761129552668,0.21384501960370447,6.212666889554576,5.827355957344959,3.8312538611261466,0.2185545075488718,0.001,537.0343027114868
24,470136,4.35077999938618,3.941245023306314,4.07257279637572,0.22776870671417807,6.533105613369691,6.139272841968034,3.915464112633153,0.22863047707237696,0.001,560.5645368099213
25,489725,4.329591984872694,3.921354772208573,4.059210009389109,0.23162057850655024,6.441255214967225,6.033322364091873,4.056718446706471,0.22609280794858932,0.0005,583.7157945632935
26,509314,3.901824932593804,3.4933369477073866,4.061169218707394,0.23710623499634978,6.582247428203884,6.176833916651575,4.031289850410662,0.2284615496663671,0.0005,607.2666342258453
27,528903,3.8669754297702346,3.4546071887016296,4.0990282699659275,0.24654205791748962,6.69519840259301,6.290567307095778,4.021810337116844,0.24499426037073135,0.0005,630.6505873203278
28,548492,3.653235294602134,3.2396713232065175,4.110011532709196,0.25628244867185496,6.034353223286177,5.635011271426552,3.966934765640058,0.2648538819661266,0.0005,653.680061340332
29,568081,3.5942041301108025,3.181006976536342,4.10595348283842,0.2601811532656868,5.91464417074856,5.516023498616721,3.9594306192900004,0.26775371910710083,0.0005,677.3652744293213
30,587670,3.60827598478887,3.1976303791070912,4.081226735920101,0.2522940535049934,5.933152898361809,5.524986654520035,4.054741097123999,0.2692047649700391,0.0005,700.8145747184753
31,607259,3.5340157871122484,3.121270365529246,4.100939388399,0.2651490086278358,8.067189111521369,7.665330125313056,3.993616232746526,0.2497296966612339,0.00025,723.8395183086395
32,626848,3.33750851742633,2.926398392621573,4.0848493436714275,0.262518761413438,5.9696508222504665,5.558268946252372,4.087953583190315,0.2586467344509928,0.00025,747.5054745674133
33,646437,3.1593826962755873,2.747578091435618,4.091193304433451,0.2685269768555443,5.7601411358306285,5.3660772521244855,3.9147765448218896,0.2586184534195222,0.00025,771.1224436759949
34,666026,3.0791626193306665,2.6687476681424425,4.0770774011488085,0.2707216480335632,6.638552151228252,6.242434996523355,3.9341809812345003,0.26989765563293505,0.00025,794.4493763446808
35,685615,3.0540247195726864,2.6449446531085226,4.0640609016666165,0.2673978214333584,5.822414950320595,5.420096139374532,3.9949357697838233,0.2825289170600866,0.00025,817.9687020778656
36,705204,2.9969965436241846,2.5866674471211124,4.075927319464745,0.27363597233961157,5.919716841296146,5.525302431301067,3.9165023345696297,0.2764252096806702,0.00025,841.6304402351379
37,724793,2.9547920846319817,2.546150468386613,4.058956390851504,0.2745966097073896,6.140233507281856,5.746489033102989,3.9098889074827494,0.2755583538428733,0.00025,864.8887324333191
38,744382,3.0064648080181766,2.5984489910014266,4.052696689382776,0.27461305778328476,6.468465182342027,6.063640677615216,4.020287780385268,0.27956913862573474,0.00025,888.5128893852234
39,763971,2.933092399851068,2.5252432072317443,4.051321066819228,0.27170877594065357,6.37698400334308,5.973103851079941,4.011097666464354,0.27703298922432096,0.000125,912.209358215332
40,783560,2.752943333867308,2.3449331498765327,4.0524419375828336,0.27659957149586123,6.553955104790236,6.163990020751953,3.8693165904597233,0.3033376410603523,0.000125,935.6529877185822
41,803149,2.700581182133068,2.294075150768478,4.037167157445635,0.27893140805619104,6.520743498676701,6.126969381382591,3.9081475797452425,0.2959348202535981,0.000125,959.0189561843872
42,822738,2.702989873173949,2.295148711699944,4.050203481277862,0.2820819662762927,6.388637064318908,5.9965977347210835,3.8911227991706445,0.2927014253249294,0.000125,982.6941025257111
43,842327,2.644164599381484,2.2373620511649492,4.039984994120412,0.28040392764590005,6.398013574512381,6.001691799414785,3.934854014923698,0.2836389331833312,0.000125,1006.4006381034851
44,861916,2.6322621269659563,2.2270830652930518,4.0239595654722935,0.27830985527146945,6.5417188249136276,6.146964281013138,3.9187861869209693,0.2875862025508755,0.000125,1029.668823480606
45,881505,2.6049125163586107,2.1996256294962646,4.024764917113564,0.28103974074512333,6.173420750781109,5.776168402872588,3.943418010285026,0.29104913182948766,6.25e-05,1053.2107496261597
46,901094,2.4969013302357164,2.0930726992619504,4.010099017774904,0.2818735863094206,6.511559494231877,6.111233672813365,3.9739747706212496,0.29282852595573977,6.25e-05,1076.6896669864655
47,920683,2.4559975552868534,2.051546115379829,4.016313921321522,0.2820049459477524,6.384428030566165,5.988746165444977,3.9272831019602323,0.295353020296285,6.25e-05,1100.0148351192474
48,940272,2.444950147108598,2.040685712517082,4.0145682545451375,0.28076116218195335,6.283941032070863,5.891158278051176,3.8979734496066443,0.2985449313725296,6.25e-05,1123.6794137954712
