global_step,epoch,batch,samples_seen,batch_size,train_loss,trajectory_loss,control_loss,regularization,lr,elapsed_sec
1,1,1,128,128,81.9444351196289,81.81702423095703,1.1635581254959106,1.1053482294082642,0.001,0.1396622657775879
2,1,2,256,128,60.98757553100586,60.81303405761719,1.6651138067245483,0.8029768466949463,0.001,0.280017614364624
3,1,3,384,128,44.17897415161133,43.98234558105469,1.910301923751831,0.5600049495697021,0.001,0.4212915897369385
4,1,4,512,128,37.761653900146484,37.537689208984375,2.2033498287200928,0.3632695972919464,0.001,0.5621869564056396
5,1,5,640,128,31.48276138305664,31.206157684326172,2.744638681411743,0.21398170292377472,0.001,0.7018065452575684
6,1,6,768,128,34.9532470703125,34.642208099365234,3.099919557571411,0.10454181581735611,0.001,0.8425941467285156
7,1,7,896,128,19.55284881591797,19.19329833984375,3.5905613899230957,0.04939389228820801,0.001,0.9840130805969238
8,1,8,1024,128,24.69746971130371,24.2995662689209,3.9777722358703613,0.01261618547141552,0.001,1.1251182556152344
9,1,9,1152,128,23.219404220581055,22.776020050048828,4.432231426239014,0.015962807461619377,0.001,1.266920804977417
10,1,10,1280,128,26.404216766357422,25.910663604736328,4.931961536407471,0.03564339131116867,0.001,1.4126920700073242
11,1,11,1408,128,27.525808334350586,27.013994216918945,5.112488746643066,0.05641469731926918,0.001,1.556823492050171
12,1,12,1536,128,26.536495208740234,26.039072036743164,4.968900203704834,0.053358044475317,0.001,1.7006425857543945
13,1,13,1664,128,26.464885711669922,25.97086524963379,4.93583345413208,0.04368438571691513,0.001,1.8415577411651611
14,1,14,1792,128,21.442474365234375,20.97789192199707,4.643270015716553,0.02563340589404106,0.001,1.9824213981628418
15,1,15,1920,128,27.355871200561523,26.905187606811523,4.505420207977295,0.014141887426376343,0.001,2.1226346492767334
16,1,16,2048,128,21.730213165283203,21.312856674194336,4.17250919342041,0.010471386834979057,0.001,2.264512777328491
17,1,17,2176,128,22.31349754333496,21.9083309173584,4.05042839050293,0.012446941807866096,0.001,2.4063334465026855
18,1,18,2304,128,22.649667739868164,22.252710342407227,3.967935800552368,0.01641971245408058,0.001,2.546128988265991
19,1,19,2432,128,22.417810440063477,22.050643920898438,3.6693060398101807,0.0236800704151392,0.001,2.6861917972564697
20,1,20,2560,128,24.416810989379883,24.033706665039062,3.828749895095825,0.02291257306933403,0.001,2.82592511177063
21,1,21,2688,128,20.06930160522461,19.636226654052734,4.32913875579834,0.015972618013620377,0.001,2.9667749404907227
22,1,22,2816,128,25.774002075195312,25.367595672607422,4.062150001525879,0.019160281866788864,0.001,3.107896327972412
23,1,23,2944,128,20.677927017211914,20.240909576416016,4.368649959564209,0.01528125163167715,0.001,3.251904249191284
24,1,24,3072,128,22.44464111328125,21.98261260986328,4.616898059844971,0.03389405831694603,0.001,3.393218755722046
25,1,25,3200,128,23.489336013793945,23.020790100097656,4.681094169616699,0.043761853128671646,0.001,3.5346057415008545
26,1,26,3328,128,21.905336380004883,21.453815460205078,4.511118412017822,0.04088765010237694,0.001,3.6768691539764404
27,1,27,3456,128,22.989946365356445,22.55136489868164,4.38159704208374,0.042233049869537354,0.001,3.817674398422241
28,1,28,3584,128,23.083309173583984,22.635955810546875,4.470681667327881,0.028635455295443535,0.001,3.9592669010162354
29,1,29,3712,128,23.724620819091797,23.291637420654297,4.325345516204834,0.04473463073372841,0.001,4.100087642669678
30,1,30,3840,128,19.95745086669922,19.564205169677734,3.9268388748168945,0.05623574182391167,0.001,4.239938735961914
31,1,31,3968,128,22.24178123474121,21.85820960998535,3.82832670211792,0.0737631767988205,0.001,4.380171298980713
32,1,32,4096,128,18.87286376953125,18.486610412597656,3.855351448059082,0.0719696432352066,0.001,4.521872282028198
33,1,33,4224,128,18.82461929321289,18.382810592651367,4.408849239349365,0.09233144670724869,0.001,4.662907361984253
34,1,34,4352,128,20.44101333618164,20.003582000732422,4.366336345672607,0.07972761243581772,0.001,4.803532361984253
35,1,35,4480,128,21.44873809814453,20.975923538208008,4.719531059265137,0.08622626960277557,0.001,4.944855690002441
36,1,36,4608,128,21.337257385253906,20.874343872070312,4.617004871368408,0.1213969960808754,0.001,5.086802959442139
37,1,37,4736,128,21.57158851623535,21.13945198059082,4.310649871826172,0.1072767823934555,0.001,5.226202011108398
38,1,38,4864,128,22.499099731445312,22.085351943969727,4.1268839836120605,0.10577075928449631,0.001,5.364611864089966
39,1,39,4992,128,21.101797103881836,20.662935256958008,4.373221397399902,0.15387077629566193,0.001,5.5032713413238525
40,1,40,5120,128,23.628080368041992,23.178974151611328,4.479599952697754,0.1146593913435936,0.001,5.645699501037598
41,1,41,5248,128,18.676807403564453,18.24852752685547,4.27081298828125,0.11976723372936249,0.001,5.7851927280426025
42,1,42,5376,128,23.695829391479492,23.256736755371094,4.3817315101623535,0.09197340905666351,0.001,5.928310394287109
43,1,43,5504,128,19.609329223632812,19.187395095825195,4.208222389221191,0.11127881705760956,0.001,6.0700461864471436
44,1,44,5632,128,24.77573013305664,24.333032608032227,4.418305397033691,0.086861751973629,0.001,6.211180925369263
45,1,45,5760,128,25.44639778137207,25.027416229248047,4.1799845695495605,0.09831174463033676,0.001,6.35272479057312
46,1,46,5888,128,20.434850692749023,20.034923553466797,3.9884419441223145,0.10832195729017258,0.001,6.4957122802734375
47,1,47,6016,128,22.560508728027344,22.136960983276367,4.227084636688232,0.08397702127695084,0.001,6.637126445770264
48,1,48,6144,128,17.981613159179688,17.567676544189453,4.127194881439209,0.12168794125318527,0.001,6.781857967376709
49,1,49,6272,128,21.748485565185547,21.35767364501953,3.8981075286865234,0.10012321919202805,0.001,6.923649549484253
50,1,50,6400,128,21.72944450378418,21.31363296508789,4.146620750427246,0.11499528586864471,0.001,7.065438270568848
51,1,51,6528,128,17.691532135009766,17.27065086364746,4.200587749481201,0.08213770389556885,0.001,7.207612752914429
52,1,52,6656,128,20.618812561035156,20.219711303710938,3.982658863067627,0.08348343521356583,0.001,7.346942663192749
53,1,53,6784,128,17.556167602539062,17.1262264251709,4.285709857940674,0.1368788480758667,0.001,7.489546537399292
54,1,54,6912,128,17.822229385375977,17.378379821777344,4.430002212524414,0.08482232689857483,0.001,7.6294779777526855
55,1,55,7040,128,16.754613876342773,16.337177276611328,4.163924217224121,0.10441819578409195,0.001,7.7701146602630615
56,1,56,7168,128,18.68514633178711,18.26775360107422,4.16295051574707,0.10976945608854294,0.001,7.910785675048828
57,1,57,7296,128,15.320828437805176,14.941414833068848,3.7819838523864746,0.12153913080692291,0.001,8.051578283309937
58,1,58,7424,128,14.631460189819336,14.233945846557617,3.9675283432006836,0.07611516863107681,0.001,8.191324472427368
59,1,59,7552,128,17.68128776550293,17.28546714782715,3.9486382007598877,0.09569079428911209,0.001,8.329437732696533
60,1,60,7680,128,18.19652557373047,17.81128692626953,3.843001127243042,0.09379816055297852,0.001,8.46963381767273
61,1,61,7808,128,14.906412124633789,14.509003639221191,3.961512327194214,0.1257137656211853,0.001,8.609795331954956
62,1,62,7936,128,17.113739013671875,16.714691162109375,3.979480266571045,0.1100306361913681,0.001,8.74892544746399
63,1,63,8064,128,14.660141944885254,14.267541885375977,3.916374444961548,0.09618867933750153,0.001,8.888063669204712
64,1,64,8192,128,16.842700958251953,16.443193435668945,3.9858288764953613,0.09247977286577225,0.001,9.028035163879395
65,1,65,8320,128,17.48147201538086,17.066997528076172,4.135976314544678,0.08773300051689148,0.001,9.168355226516724
66,1,66,8448,128,17.877704620361328,17.44654655456543,4.302914142608643,0.08661990612745285,0.001,9.308078527450562
67,1,67,8576,128,11.470390319824219,11.075291633605957,3.9412689208984375,0.0972120612859726,0.001,9.44728136062622
68,1,68,8704,128,23.178709030151367,22.75948143005371,4.18570613861084,0.06556782871484756,0.001,9.586979150772095
69,1,69,8832,128,26.056331634521484,25.619077682495117,4.364452362060547,0.08088262379169464,0.001,9.726474523544312
70,1,70,8960,128,17.10831069946289,16.709121704101562,3.9850454330444336,0.06850523501634598,0.001,9.866126775741577
71,1,71,9088,128,20.27027702331543,19.815412521362305,4.539996147155762,0.0863327756524086,0.001,10.00617265701294
72,1,72,9216,128,17.549358367919922,17.053613662719727,4.947968482971191,0.09471657872200012,0.001,10.147229433059692
73,1,73,9344,128,15.623147964477539,15.143341064453125,4.78950834274292,0.08566374331712723,0.001,10.287143468856812
74,1,74,9472,128,18.60856819152832,18.154170989990234,4.535723686218262,0.08245326578617096,0.001,10.426024675369263
75,1,75,9600,128,16.367431640625,15.936830520629883,4.300082683563232,0.05934455245733261,0.001,10.566937923431396
76,1,76,9728,128,17.70270347595215,17.263778686523438,4.381983757019043,0.07262472808361053,0.001,10.70785903930664
77,1,77,9856,128,14.04196548461914,13.587082862854004,4.541086196899414,0.07739755511283875,0.001,10.84819507598877
78,1,78,9984,128,16.895483016967773,16.47231101989746,4.224701404571533,0.07020432502031326,0.001,10.988711833953857
79,1,79,10112,128,16.295669555664062,15.884273529052734,4.107669353485107,0.06293557584285736,0.001,11.129003286361694
80,1,80,10240,128,13.129318237304688,12.715218544006348,4.132195949554443,0.08801807463169098,0.001,11.268503904342651
81,1,81,10368,128,14.745759963989258,14.363017082214355,3.8208508491516113,0.06576657295227051,0.001,11.408551454544067
82,1,82,10496,128,14.000816345214844,13.6072998046875,3.92920184135437,0.05961516126990318,0.001,11.54991865158081
83,1,83,10624,128,17.327640533447266,16.958951950073242,3.6804449558258057,0.06439559161663055,0.001,11.691028118133545
84,1,84,10752,128,15.135430335998535,14.795533180236816,3.388577699661255,0.10392509400844574,0.001,11.830169677734375
85,1,85,10880,128,14.508646965026855,14.148178100585938,3.594710111618042,0.09972292929887772,0.001,11.971138000488281
86,1,86,11008,128,15.324424743652344,14.933648109436035,3.895843982696533,0.11919285356998444,0.001,12.11289668083191
87,1,87,11136,128,13.523218154907227,13.126233100891113,3.962369918823242,0.07474630326032639,0.001,12.252292156219482
88,1,88,11264,128,12.608262062072754,12.229052543640137,3.7861409187316895,0.059483230113983154,0.001,12.392557382583618
89,1,89,11392,128,13.492419242858887,13.097270965576172,3.945054531097412,0.0643191710114479,0.001,12.53392767906189
90,1,90,11520,128,11.60040283203125,11.233945846557617,3.6589391231536865,0.056259945034980774,0.001,12.675681114196777
91,1,91,11648,128,13.800827026367188,13.4107027053833,3.8953967094421387,0.058468420058488846,0.001,12.815667629241943
92,1,92,11776,128,15.635910987854004,15.277630805969238,3.576448678970337,0.06348098814487457,0.001,12.956160545349121
93,1,93,11904,128,15.98382568359375,15.574277877807617,4.089015483856201,0.06466374546289444,0.001,13.09722638130188
94,1,94,12032,128,14.489924430847168,14.111756324768066,3.778263568878174,0.03413371369242668,0.001,13.577804327011108
95,1,95,12160,128,12.008758544921875,11.601639747619629,4.066795349121094,0.044009312987327576,0.001,13.719063997268677
96,1,96,12288,128,13.47658920288086,13.034788131713867,4.4107208251953125,0.07290229946374893,0.001,13.859931707382202
97,1,97,12416,128,13.516800880432129,13.096866607666016,4.194015979766846,0.053329553455114365,0.001,14.001665353775024
98,1,98,12544,128,12.990635871887207,12.561110496520996,4.289518356323242,0.057341597974300385,0.001,14.143547534942627
99,1,99,12672,128,16.39531135559082,15.973196029663086,4.215339660644531,0.05812254920601845,0.001,14.282369613647461
100,1,100,12800,128,12.014354705810547,11.622526168823242,3.9126434326171875,0.0564926415681839,0.001,14.423290491104126
101,1,101,12928,128,14.725149154663086,14.31557846069336,4.087311267852783,0.0839541032910347,0.001,14.565339088439941
102,1,102,13056,128,15.518512725830078,15.132706642150879,3.850480318069458,0.07577524334192276,0.001,14.708454370498657
103,1,103,13184,128,11.042511940002441,10.688791275024414,3.5276896953582764,0.09516196697950363,0.001,14.85226035118103
104,1,104,13312,128,15.729232788085938,15.33051872253418,3.981717348098755,0.05430999770760536,0.001,14.996567964553833
105,1,105,13440,128,12.224846839904785,11.848625183105469,3.7539632320404053,0.0824839398264885,0.001,15.1370530128479
106,1,106,13568,128,10.371849060058594,9.983415603637695,3.878693103790283,0.05648522824048996,0.001,15.276777744293213
107,1,107,13696,128,15.363870620727539,14.975484848022461,3.8782262802124023,0.0562719888985157,0.001,15.416120052337646
108,1,108,13824,128,14.535832405090332,14.119935989379883,4.153445243835449,0.055242691189050674,0.001,15.557101011276245
109,1,109,13952,128,13.064618110656738,12.642717361450195,4.212131977081299,0.0687401220202446,0.001,15.696503639221191
110,1,110,14080,128,12.840749740600586,12.439014434814453,4.009283542633057,0.08063609898090363,0.001,15.838841438293457
111,1,111,14208,128,14.13564682006836,13.73374080657959,4.013774871826172,0.05281688645482063,0.001,15.980926513671875
112,1,112,14336,128,12.681278228759766,12.286904335021973,3.9376204013824463,0.061222441494464874,0.001,16.12373995780945
113,1,113,14464,128,12.14732551574707,11.743109703063965,4.034481048583984,0.0768086314201355,0.001,16.26489281654358
114,1,114,14592,128,13.756050109863281,13.375636100769043,3.79856014251709,0.05576016753911972,0.001,16.407846212387085
115,1,115,14720,128,12.081603050231934,11.717687606811523,3.6294631958007812,0.09692880511283875,0.001,16.550551652908325
116,1,116,14848,128,14.093196868896484,13.710262298583984,3.821176052093506,0.08171556144952774,0.001,16.692866325378418
117,1,117,14976,128,12.102119445800781,11.713871955871582,3.8757083415985107,0.06769201159477234,0.001,16.8335702419281
118,1,118,15104,128,13.195086479187012,12.8184175491333,3.7580342292785645,0.08661302179098129,0.001,16.97538185119629
119,1,119,15232,128,13.970197677612305,13.561070442199707,4.083339214324951,0.07934008538722992,0.001,17.116002321243286
120,1,120,15360,128,14.232831954956055,13.8142671585083,4.1767988204956055,0.08845432102680206,0.001,17.257635354995728
121,1,121,15488,128,13.707426071166992,13.291824340820312,4.149242877960205,0.06771758198738098,0.001,17.398857593536377
122,1,122,15616,128,11.148763656616211,10.732183456420898,4.159210205078125,0.06594392657279968,0.001,17.540425777435303
123,1,123,15744,128,10.604745864868164,10.212939262390137,3.9077847003936768,0.10276784747838974,0.001,17.68123459815979
124,1,124,15872,128,12.625142097473145,12.23282241821289,3.912689685821533,0.10505387932062149,0.001,17.821912050247192
125,1,125,16000,128,12.451828002929688,12.056636810302734,3.9448366165161133,0.07076603174209595,0.001,17.962313175201416
126,1,126,16128,128,12.124449729919434,11.737902641296387,3.854238271713257,0.11236375570297241,0.001,18.103190660476685
127,1,127,16256,128,10.550951957702637,10.163856506347656,3.86086106300354,0.10086120665073395,0.001,18.243305921554565
128,1,128,16384,128,13.992968559265137,13.588528633117676,4.037222385406494,0.07181231677532196,0.001,18.381958961486816
129,1,129,16512,128,14.07167911529541,13.671473503112793,3.9933321475982666,0.08730092644691467,0.001,18.52140212059021
130,1,130,16640,128,13.426504135131836,13.015111923217773,4.104007244110107,0.09916282445192337,0.001,18.661772966384888
131,1,131,16768,128,16.83311653137207,16.424489974975586,4.078512668609619,0.07751809805631638,0.001,18.800708055496216
132,1,132,16896,128,13.128588676452637,12.739975929260254,3.8794829845428467,0.06649113446474075,0.001,18.94062876701355
133,1,133,17024,128,12.604144096374512,12.192771911621094,4.1039719581604,0.09749703854322433,0.001,19.08116912841797
134,1,134,17152,128,11.119383811950684,10.728872299194336,3.8940441608428955,0.1107185035943985,0.001,19.222679615020752
135,1,135,17280,128,11.709965705871582,11.316644668579102,3.925321578979492,0.07890535891056061,0.001,19.36292862892151
136,1,136,17408,128,9.894631385803223,9.497720718383789,3.9626829624176025,0.06427685916423798,0.001,19.50233745574951
137,1,137,17536,128,11.125728607177734,10.735180854797363,3.899380683898926,0.06092554330825806,0.001,19.642391443252563
138,1,138,17664,128,11.325237274169922,10.932611465454102,3.918318033218384,0.07941524684429169,0.001,19.782130479812622
139,1,139,17792,128,13.311132431030273,12.919288635253906,3.9095115661621094,0.08924788981676102,0.001,19.922086477279663
140,1,140,17920,128,10.487482070922852,10.081583976745605,4.049252033233643,0.09731625020503998,0.001,20.063530921936035
141,1,141,18048,128,11.343754768371582,10.93564224243164,4.072884559631348,0.08241447061300278,0.001,20.204747438430786
142,1,142,18176,128,12.327516555786133,11.93659496307373,3.900294780731201,0.08917737752199173,0.001,20.34461236000061
143,1,143,18304,128,12.147571563720703,11.768702507019043,3.7803874015808105,0.08308298140764236,0.001,20.483829021453857
144,1,144,18432,128,12.573461532592773,12.163809776306152,4.082644939422607,0.1387327015399933,0.001,20.624724626541138
145,1,145,18560,128,12.720149040222168,12.337911605834961,3.8150103092193604,0.07359611988067627,0.001,20.763429164886475
146,1,146,18688,128,10.86356258392334,10.507655143737793,3.5456953048706055,0.1338246911764145,0.001,20.902608633041382
147,1,147,18816,128,13.343351364135742,12.94892406463623,3.936520576477051,0.07751389592885971,0.001,21.043030261993408
148,1,148,18944,128,12.84061336517334,12.464938163757324,3.7484874725341797,0.08271048963069916,0.001,21.18233847618103
149,1,149,19072,128,13.50627613067627,13.122811317443848,3.826294422149658,0.08357147872447968,0.001,21.32137417793274
150,1,150,19200,128,11.147801399230957,10.77394962310791,3.7303385734558105,0.08183792233467102,0.001,21.463213205337524
151,1,151,19328,128,12.786215782165527,12.411407470703125,3.7377500534057617,0.10327453166246414,0.001,21.605587244033813
152,1,152,19456,128,13.888640403747559,13.500061988830566,3.876599073410034,0.09186731278896332,0.001,21.74481439590454
153,1,153,19584,128,12.062292098999023,11.67844009399414,3.8294036388397217,0.09118808805942535,0.001,21.884041786193848
154,1,154,19589,5,43.47671890258789,43.13033676147461,3.4599223136901855,0.038922131061553955,0.001,22.01787805557251
155,2,1,19717,128,13.762428283691406,13.317768096923828,4.438857078552246,0.07739274948835373,0.001,23.495222806930542
156,2,2,19845,128,12.080439567565918,11.667521476745605,4.121736526489258,0.07448700070381165,0.001,23.635032653808594
157,2,3,19973,128,11.133515357971191,10.699407577514648,4.333700656890869,0.07378430664539337,0.001,23.773926496505737
158,2,4,20101,128,12.887593269348145,12.447466850280762,4.392745018005371,0.08515515923500061,0.001,23.912459135055542
159,2,5,20229,128,15.537282943725586,15.126296043395996,4.100110054016113,0.09751684218645096,0.001,24.051462650299072
160,2,6,20357,128,10.980860710144043,10.587824821472168,3.9224605560302734,0.07899883389472961,0.001,24.198801040649414
161,2,7,20485,128,10.997974395751953,10.62486743927002,3.7196898460388184,0.11378362029790878,0.001,24.337110996246338
162,2,8,20613,128,12.346121788024902,11.993653297424316,3.512504816055298,0.1217992752790451,0.001,24.48570680618286
163,2,9,20741,128,15.169339179992676,14.810121536254883,3.5820417404174805,0.10136247426271439,0.001,24.6255202293396
164,2,10,20869,128,9.779425621032715,9.416691780090332,3.616689920425415,0.1065259799361229,0.001,24.765716791152954
