global_step,epoch,batch,samples_seen,batch_size,train_loss,trajectory_loss,control_loss,regularization,lr,elapsed_sec
25,1,25,3200,128,42.681678771972656,42.605796813964844,0.022607827559113503,7.362133979797363,0.001,34.56875157356262
26,1,26,3328,128,31.049381256103516,30.963754653930664,0.022533973678946495,8.337443351745605,0.001,35.97065782546997
27,1,27,3456,128,29.574283599853516,29.478059768676758,0.024165362119674683,9.380752563476562,0.001,37.318732261657715
28,1,28,3584,128,31.44938087463379,31.341686248779297,0.02733900211751461,10.496227264404297,0.001,38.61866021156311
29,1,29,3712,128,26.237455368041992,26.11866569519043,0.024852801114320755,11.630477905273438,0.001,39.94981598854065
30,1,30,3840,128,27.413772583007812,27.283405303955078,0.024686221033334732,12.78995418548584,0.001,41.302908182144165
31,1,31,3968,128,30.576181411743164,30.43560218811035,0.02624795399606228,13.795492172241211,0.001,42.66604495048523
32,1,32,4096,128,30.341188430786133,30.193241119384766,0.02500196173787117,14.544718742370605,0.001,44.00968623161316
33,1,33,4224,128,33.120758056640625,32.967899322509766,0.022879699245095253,15.057149887084961,0.001,45.36265158653259
34,1,34,4352,128,30.19508934020996,30.038448333740234,0.023070083931088448,15.433403968811035,0.001,46.68185567855835
35,1,35,4480,128,28.780601501464844,28.622167587280273,0.02253081649541855,15.61817741394043,0.001,47.99123549461365
36,1,36,4608,128,28.552797317504883,28.393999099731445,0.025901833549141884,15.620816230773926,0.001,49.24972176551819
37,1,37,4736,128,30.34813690185547,30.19045066833496,0.026944464072585106,15.499075889587402,0.001,50.52400350570679
38,1,38,4864,128,29.646535873413086,29.49058723449707,0.025864411145448685,15.336221694946289,0.001,51.8703339099884
39,1,39,4992,128,23.68414878845215,23.531475067138672,0.023381168022751808,15.03347396850586,0.001,53.19209623336792
40,1,40,5120,128,33.23593521118164,33.0870246887207,0.023823503404855728,14.652628898620605,0.001,54.51707625389099
41,1,41,5248,128,31.179914474487305,31.03571891784668,0.026029551401734352,14.159192085266113,0.001,55.797595739364624
42,1,42,5376,128,23.756298065185547,23.61768341064453,0.023636093363165855,13.625164985656738,0.001,57.10290765762329
43,1,43,5504,128,25.08090591430664,24.948461532592773,0.020861556753516197,13.035835266113281,0.001,58.4624981880188
44,1,44,5632,128,29.17926788330078,29.052093505859375,0.025826817378401756,12.459101676940918,0.001,59.748584032058716
45,1,45,5760,128,32.96428680419922,32.84346389770508,0.024555683135986328,11.83676528930664,0.001,61.05054688453674
46,1,46,5888,128,28.86920928955078,28.755693435668945,0.021330198273062706,11.138289451599121,0.001,62.31416034698486
47,1,47,6016,128,32.19782638549805,32.09074401855469,0.024990657344460487,10.458476066589355,0.001,63.548630237579346
48,1,48,6144,128,26.821752548217773,26.72075080871582,0.02963149920105934,9.803681373596191,0.001,64.85260462760925
49,1,49,6272,128,25.922489166259766,25.827335357666016,0.0265161395072937,9.250304222106934,0.001,66.1402223110199
50,1,50,6400,128,30.27503776550293,30.184572219848633,0.02590075507760048,8.787455558776855,0.001,67.42720890045166
51,1,51,6528,128,25.6688232421875,25.58316421508789,0.024014391005039215,8.32568645477295,0.001,68.70135116577148
52,1,52,6656,128,32.53739929199219,32.454551696777344,0.027350544929504395,8.0112886428833,0.001,69.98358988761902
53,1,53,6784,128,29.587779998779297,29.50878143310547,0.026682531461119652,7.63308048248291,0.001,71.2211344242096
54,1,54,6912,128,26.292327880859375,26.217674255371094,0.022127602249383926,7.244089126586914,0.001,72.48703789710999
55,1,55,7040,128,30.474393844604492,30.40240478515625,0.024559004232287407,6.953225135803223,0.001,73.73205828666687
56,1,56,7168,128,29.388408660888672,29.318965911865234,0.02372419647872448,6.707018852233887,0.001,74.94198083877563
57,1,57,7296,128,27.475919723510742,27.40836524963379,0.024581782519817352,6.509524822235107,0.001,76.18760681152344
58,1,58,7424,128,24.356998443603516,24.290977478027344,0.028837844729423523,6.31377649307251,0.001,77.39162588119507
59,1,59,7552,128,30.070144653320312,30.005775451660156,0.030290061607956886,6.134087085723877,0.001,78.64953875541687
60,1,60,7680,128,30.33991241455078,30.278705596923828,0.021963080391287804,5.90115213394165,0.001,79.83595967292786
61,1,61,7808,128,26.799283981323242,26.74005126953125,0.026041029021143913,5.662909030914307,0.001,81.04392886161804
62,1,62,7936,128,27.950061798095703,27.89318084716797,0.030570408329367638,5.382367134094238,0.001,82.22059869766235
63,1,63,8064,128,31.725521087646484,31.67081642150879,0.0321023166179657,5.149414539337158,0.001,83.4377543926239
64,1,64,8192,128,29.957788467407227,29.905986785888672,0.025445828214287758,4.925796031951904,0.001,84.61320495605469
65,1,65,8320,128,26.70867347717285,26.659412384033203,0.02259944938123226,4.700015544891357,0.001,85.77717518806458
66,1,66,8448,128,23.832263946533203,23.785097122192383,0.024093998596072197,4.47580099105835,0.001,86.94921803474426
67,1,67,8576,128,26.667808532714844,26.622339248657227,0.026141375303268433,4.285419940948486,0.001,88.13199043273926
68,1,68,8704,128,27.78216552734375,27.739038467407227,0.022779500111937523,4.085031986236572,0.001,89.32680559158325
69,1,69,8832,128,27.531003952026367,27.48932647705078,0.022744446992874146,3.9404287338256836,0.001,90.56833791732788
70,1,70,8960,128,29.23192596435547,29.190494537353516,0.03405320271849632,3.8026740550994873,0.001,91.80135107040405
71,1,71,9088,128,35.19382858276367,35.154151916503906,0.025274349376559258,3.7147774696350098,0.001,92.97236394882202
72,1,72,9216,128,30.192459106445312,30.154043197631836,0.023360494524240494,3.6080267429351807,0.001,94.13956260681152
73,1,73,9344,128,30.27879524230957,30.24150848388672,0.023650679737329483,3.4921157360076904,0.001,95.30552339553833
74,1,74,9472,128,29.37826156616211,29.341581344604492,0.026223022490739822,3.405691385269165,0.001,96.47236800193787
75,1,75,9600,128,28.57904815673828,28.54275894165039,0.03437654301524162,3.2851364612579346,0.001,97.68711876869202
76,1,76,9728,128,30.314388275146484,30.279706954956055,0.03132366016507149,3.1550142765045166,0.001,98.91194581985474
77,1,77,9856,128,28.566062927246094,28.533540725708008,0.023654842749238014,3.0156962871551514,0.001,100.077791929245
78,1,78,9984,128,31.021207809448242,30.990039825439453,0.02442358061671257,2.8727471828460693,0.001,101.24704122543335
79,1,79,10112,128,32.18798065185547,32.15816116333008,0.0241527259349823,2.740516424179077,0.001,102.41817164421082
80,1,80,10240,128,28.01483917236328,27.98626708984375,0.025182703509926796,2.605388879776001,0.001,103.58483910560608
81,1,81,10368,128,27.935834884643555,27.908557891845703,0.026282085105776787,2.4648046493530273,0.001,104.77304935455322
82,1,82,10496,128,28.36747169494629,28.3411922454834,0.02734014205634594,2.3547167778015137,0.001,105.95566511154175
83,1,83,10624,128,30.060850143432617,30.03536605834961,0.027355492115020752,2.2749035358428955,0.001,107.1478750705719
84,1,84,10752,128,26.41680908203125,26.392471313476562,0.02414100058376789,2.192322254180908,0.001,108.32030463218689
85,1,85,10880,128,25.839078903198242,25.815269470214844,0.02715005911886692,2.109616994857788,0.001,109.49724316596985
86,1,86,11008,128,31.209976196289062,31.18661880493164,0.02769327536225319,2.058800458908081,0.001,110.70156240463257
87,1,87,11136,128,24.823278427124023,24.801040649414062,0.02473992109298706,1.9763867855072021,0.001,111.87297630310059
88,1,88,11264,128,22.817955017089844,22.79627799987793,0.02377156727015972,1.9300923347473145,0.001,113.07423257827759
