model,epoch,num_runs,train_loss_mean,train_loss_std,val_loss_mean,val_loss_std
lstm,1,3,3.558162513491395,0.053405639587005886,2.4245468992413137,0.20125658570556573
lstm,2,3,2.118224392205606,0.05236654982678901,2.2735868096351624,0.329643911496161
lstm,3,3,1.8746775903485038,0.09688268454182906,1.9051798022629924,0.27114504080373314
lstm,4,3,1.684257661754435,0.08156368601044325,1.8291200131439327,0.5601392896961027
lstm,5,3,1.5186220812591127,0.13712849658831028,1.5078223665293893,0.2383993559736329
lstm,6,3,1.356915415881516,0.08532093432959297,1.341728952370192,0.16743753103881934
lstm,7,3,1.2598487698670588,0.03539021805025593,1.279803430955661,0.13667939704453322
lstm,8,3,1.1933948642763739,0.0329239289457061,1.4369996018838462,0.2951650210638045
lstm,9,3,1.1358963053076814,0.014639829708246984,1.143766106155358,0.09283939950296849
lstm,10,3,1.0936090310156603,0.07338946296724289,1.1646797755046894,0.19437520889880425
lstm,11,3,1.0789022754023085,0.09427447948252535,1.0904529111688597,0.05214642334389868
lstm,12,3,1.0296155757460244,0.07569957859555548,1.1180143263517766,0.14044145220775178
lstm,13,3,0.9705088479178293,0.06253278732059707,1.104530503287127,0.07310459638566554
lstm,14,3,0.9569352817483795,0.029943873977104962,1.0712585782534196,0.06337408451285617
lstm,15,3,0.8951203683754066,0.009566229238504337,1.1365452283960684,0.13487457185155685
lstm,16,3,0.8717055764549221,0.02321932174000616,1.0219947685275161,0.02716383238423178
lstm,17,3,0.7862518412984295,0.02942418867044118,0.9926872846850178,0.1093238290134644
lstm,18,3,0.7641048412044326,0.04234850991468964,0.9337148955582003,0.06269073085490276
lstm,19,3,0.759097329852901,0.03476400941762906,0.9874553034702936,0.04207334736389261
lstm,20,3,0.7312750675719538,0.031992254270828906,1.024213676389895,0.2182440674184499
lstm,21,3,0.7246018836508581,0.030692543862223396,0.9735473161726667,0.03755303679499703
lstm,22,3,0.7089817696190499,0.016265987841807845,0.9750965953265366,0.16191223648046035
lstm,23,3,0.6929797637578728,0.011866597563972526,0.9439050146754373,0.02582532890886575
lstm,24,3,0.6804174022241072,0.027095373025112585,0.9034882463645517,0.09375275792353088
lstm,25,3,0.6504300892417565,0.021347778138030515,0.9529077213322906,0.027094791028333013
lstm,26,3,0.642211154748351,0.026212517043082733,0.925046603538488,0.058281952302902625
lstm,27,3,0.6255920675151793,0.010823981687308063,0.8724429477332977,0.0752132047224036
lstm,28,3,0.5998949687847327,0.011619333717219217,0.8588964385552366,0.05955900253378314
lstm,29,3,0.5950711920405879,0.03690055650491244,0.8911849587763611,0.05027181961397815
lstm,30,3,0.5716219923067918,0.025778824099790636,0.8860837673735723,0.07886267614616016
lstm,31,3,0.5350709864748763,0.034841600135644364,0.8886881323302523,0.037012144818652136
lstm,32,3,0.5305278744403418,0.03959270338520759,0.907394732103536,0.04677770743372852
lstm,33,3,0.5130940036469208,0.034101500994125025,0.8717538117708866,0.05096087013139083
lstm,34,3,0.5117051522066066,0.049781514718037274,0.9754725297945633,0.09652384342111806
lstm,35,3,0.4878063905355218,0.020153016196736553,0.9135601951887734,0.0857914798598231
lstm,36,3,0.47360170337480384,0.030421994108765893,0.8953243418220888,0.011019175833980578
lstm,37,3,0.4696064831697064,0.04431589792921577,0.9782705855670205,0.06799581183359153
lstm,38,3,0.44748194902748256,0.04186564099669981,1.0422643743324698,0.18711809526199946
lstm,39,3,0.44081584348049,0.03629924377161275,0.8988447677213373,0.02676652269933625
lstm,40,2,0.4060798188937562,0.07704435037111385,0.9370956842934615,0.06399760892937695
lstm,41,2,0.39284477939272855,0.08009821614959392,0.9065195398503229,0.023620810557736172
lstm,42,2,0.3730052848431197,0.07946695734712869,0.9292144211205213,0.12772317277590384
lstm,43,2,0.3324069713133496,0.0414669220719352,0.9825002296190513,0.07315725076754086
lstm,44,2,0.3118996083155855,0.03304511656592057,0.8810244641315781,0.08988299267200096
lstm,45,2,0.30571753652645395,0.025959893403828864,0.9339722981676459,0.15305832303373446
lstm,46,2,0.2924975169483911,0.03481391920311104,0.9566829849132582,0.1302418214436332
lstm,47,2,0.27769417061724444,0.045095082655570426,0.9158927042919554,0.08580207692701101
lstm,48,2,0.27443069708231205,0.050160304833122074,0.9317413846422966,0.12469969456370801
lstm,49,1,0.2665814001645361,0.0,1.0765988026794635,0.0
lstm,50,1,0.2528843367835144,0.0,1.0970090826679217,0.0
lstm,51,1,0.25094749507578934,0.0,1.1407691677542109,0.0
lstm_mpc,1,3,43.196378579903474,0.9240855931869415,26.585499440368853,0.41611507730478586
lstm_mpc,2,3,23.88043353361485,2.6019879809066935,20.683547019958496,5.629797185937558
lstm_mpc,3,3,17.398632520205016,3.574441038875113,13.956515524471016,0.2992248370934149
lstm_mpc,4,3,12.76532077479672,0.641163086601096,11.65291733595363,0.3410724780183489
lstm_mpc,5,3,11.076460478625771,0.682738466392242,11.58018032343764,0.5700025413305341
lstm_mpc,6,3,10.18679396311442,0.566242029434766,10.884823691949508,1.9395975264195333
lstm_mpc,7,3,9.37909659059533,0.7497483755857215,10.176058547015776,0.6112890960857064
lstm_mpc,8,3,8.76225776589794,0.6262776427158864,9.217004008460464,0.4309600740226831
lstm_mpc,9,3,8.47974391210647,0.4147903082334958,8.746079766436628,0.556451733136309
lstm_mpc,10,3,8.090939315366539,0.66022841705394,9.317064504351533,1.713331903274489
lstm_mpc,11,3,7.795180897434037,0.41344861079218964,8.919998363967528,0.6072420196262075
lstm_mpc,12,3,7.432233195284229,0.43795690453584046,7.745775435054512,0.4157537563505844
lstm_mpc,13,3,7.035795384155207,0.4482398791646888,7.804577742752277,1.2952665229867806
lstm_mpc,14,3,7.092425787087643,0.15928466690046122,8.065449856352387,0.7414154267506652
lstm_mpc,15,3,6.64809534818063,0.30758563603550576,7.635380465733378,0.3077793012216833
lstm_mpc,16,3,6.50274040275838,0.31627774353641025,8.580041878578955,0.16455186312603756
lstm_mpc,17,3,6.344349902171594,0.028600272262073016,7.33655632300335,0.34664993851893117
lstm_mpc,18,3,6.152094401580431,0.26886219888445095,7.218966335058212,0.6505876689045625
lstm_mpc,19,3,5.856044418884046,0.22101986610018573,7.743044889286945,0.3445553725211242
lstm_mpc,20,3,5.608394490692007,0.4332468669530658,7.229867150647599,0.47494621528047887
lstm_mpc,21,3,5.56750600085114,0.4948977548206123,6.927134239098481,0.720171080821867
lstm_mpc,22,3,5.367717218089413,0.5153460206112945,7.154962174986539,0.8378910596757005
lstm_mpc,23,3,5.098564828629101,0.3333338841301365,6.560476917446706,0.3076235250265551
lstm_mpc,24,3,5.138136016342031,0.4071668463360338,7.034630386975774,0.46086196068387075
lstm_mpc,25,3,5.015474534912027,0.38974445165355026,6.7559429791412855,0.09046127186801581
lstm_mpc,26,3,4.7889106121414144,0.555757386092786,6.795831522920675,0.48662998514913597
lstm_mpc,27,3,4.740085580648281,0.5869375760702883,7.420562875375413,0.3500203596094266
lstm_mpc,28,3,4.636857700554323,0.5212112117349551,6.8605524944631675,0.2373772829825964
lstm_mpc,29,2,4.837524475215317,0.03273427384248316,6.931652131441393,0.602278842878621
lstm_mpc,30,2,4.584621468147674,0.5450124123944391,6.374014454060479,0.14133908215072113
lstm_mpc,31,2,4.446305220003252,0.5884291454509669,6.4399242310931815,0.3085366162078667
lstm_mpc,32,2,4.2777835649329345,0.43343738765382783,7.195286902942156,0.7612825310323967
lstm_mpc,33,2,4.17352020740509,0.3182986815683955,6.272347681616482,0.670520365290568
lstm_mpc,34,2,4.278897264561095,0.4729359515278577,6.395225461376341,0.3200757506442653
lstm_mpc,35,2,4.072389039900395,0.36497736832333816,6.5110976727385275,0.44113282043288854
lstm_mpc,36,2,4.0488920215662425,0.2053770053554391,6.353680304790798,0.3952072784727087
lstm_mpc,37,2,3.732206822215737,0.08928508041808621,6.173711731245643,0.3381029049473384
lstm_mpc,38,2,3.5713671209750237,0.09211406173119598,6.701972486157167,0.3672158039550275
lstm_mpc,39,2,3.59470052475279,0.06909931285489301,6.386002242565155,0.14338320485806305
lstm_mpc,40,2,3.358013852850183,0.07630443346954671,6.664734547075472,0.15462090337021975
lstm_mpc,41,2,3.3758123501554715,0.1070471483003229,6.473294835341604,0.5464324490778709
lstm_mpc,42,2,3.2573985422586467,0.16084310713253844,6.404590365525923,0.387984353990697
lstm_mpc,43,2,3.2349397478165565,0.13551716493480456,6.826271635529242,0.19067173874331067
lstm_mpc,44,2,3.0484759861772712,0.0900659827009128,6.363199496739789,0.24796549635964557
lstm_mpc,45,2,2.9845610423521562,0.08577170051592127,6.508205798895736,0.0603616128553481
lstm_mpc,46,2,2.8965279034205844,0.0018252672525028817,6.372441418861088,0.033766176164786915
lstm_mpc,47,2,2.8308606267749488,0.004672274280095595,6.534726960486488,0.28123197117003007
lstm_mpc,48,2,2.8258177769648567,0.009232524426295751,6.732927493751049,0.2689244813846728
lstm_mpc,49,1,2.7386640650885448,0.0,6.632041450393827,0.0
lstm_mpc,50,1,2.74212819724888,0.0,6.8463522925188665,0.0
lstm_mpc,51,1,2.6824119594190026,0.0,6.873249626473377,0.0
lstm_mpc,52,1,2.674163883382624,0.0,6.961688744394403,0.0
lstm_mpc,53,1,2.5340450464130995,0.0,6.661965157640608,0.0
lstm_mpc,54,1,2.45929825460756,0.0,6.8441351965854045,0.0
lstm_mpc,55,1,2.4948658989621446,0.0,6.618619187882072,0.0
lstm_mpc,56,1,2.4714853926138445,0.0,6.789141019708232,0.0
lstm_mpc,57,1,2.4191459773422834,0.0,6.58802382099001,0.0
lstm_mpc,58,1,2.380109020641872,0.0,6.512204402371457,0.0
lstm_mpc,59,1,2.3477229994612854,0.0,6.69886347808336,0.0
lstm_mpc,60,1,2.295695282422103,0.0,6.792518171824907,0.0
lstm_mpc,61,1,2.2942893183850623,0.0,6.6684472866748505,0.0
lstm_dynamics,1,3,17.775840637487764,0.35493010207387166,14.344029424483317,1.161734357752328
lstm_dynamics,2,3,12.47740303076707,0.8376535918919282,11.47633953889211,1.418446004729929
lstm_dynamics,3,3,10.4500389914492,0.8302823126891241,9.401086716275465,0.2958506990240186
lstm_dynamics,4,3,9.15297792690657,0.29916974845164535,9.037200574289288,0.4128585730737321
lstm_dynamics,5,3,8.088635887418475,0.11899123939909886,8.299531662673282,0.7577040597793413
lstm_dynamics,6,3,7.687259445974838,0.020522514736174054,8.70615213795712,0.6152123341725598
lstm_dynamics,7,3,7.288600137739471,0.07903956169569877,8.022506973722523,0.2978744650680453
lstm_dynamics,8,3,7.023924190760691,0.03945980163129894,7.614327736068191,0.804781343482909
lstm_dynamics,9,3,6.715605818348013,0.2336727940257688,7.246848288335298,0.5952556624445762
lstm_dynamics,10,3,6.459470997125039,0.2256864742481863,7.313022457716758,0.9484265846884468
lstm_dynamics,11,3,6.27631938251066,0.11213296470343584,6.872000593365285,0.2601323151131981
lstm_dynamics,12,3,5.963275420072275,0.008840938026166669,8.517670030133766,2.4425591108995266
lstm_dynamics,13,3,6.031006357112489,0.3497249650037079,6.375711786642409,0.12283240626403152
lstm_dynamics,14,3,5.7055154435046305,0.06195363514742083,7.3877648836688,0.7132444916568864
lstm_dynamics,15,3,5.546188283792307,0.10711549639802002,6.937310725973364,1.0411081136175666
lstm_dynamics,16,3,5.445731546455647,0.08332288564161743,6.30526464706973,0.43959661215874685
lstm_dynamics,17,3,5.02073238267527,0.2192648978817572,6.2877251019603335,0.44418885996743973
lstm_dynamics,18,3,5.037211758233768,0.3548827242124938,6.3275291679198284,0.3015963725603599
lstm_dynamics,19,3,4.931924840072533,0.21654308572703151,6.0801230606279875,0.26449665296924896
lstm_dynamics,20,3,4.776486958518173,0.22023450725651078,6.418104613559289,0.5366510251609167
lstm_dynamics,21,3,4.69790116223422,0.16028718888313412,6.345967405720761,0.2067988354299575
lstm_dynamics,22,3,4.579376939571265,0.23950884055630794,6.437862079394492,0.28163625805817344
lstm_dynamics,23,3,4.408710485412961,0.22875229654893198,6.031410658045819,0.17148060177061328
lstm_dynamics,24,3,4.11419481503499,0.22007653294688428,6.399250616629918,0.1565800158802359
lstm_dynamics,25,3,4.08536435618545,0.2310463201281256,6.2114916271285,0.22481212453983754
lstm_dynamics,26,3,3.929516695278547,0.06948375342866514,6.478982599158036,0.20273228608459762
lstm_dynamics,27,3,3.883204347127444,0.07222813285098904,6.63162465315116,0.23965394692819467
lstm_dynamics,28,3,3.724374198294305,0.10453472715091504,6.1211216355624956,0.08821291093749195
lstm_dynamics,29,3,3.602325171103209,0.10561409837784363,6.057123297662066,0.12761587970229168
lstm_dynamics,30,3,3.505452625421219,0.09508471195831449,6.207954906057894,0.2424700307685731
lstm_dynamics,31,3,3.4404359859821603,0.0810447655213078,6.9637274966951,0.9558600861536837
lstm_dynamics,32,2,3.3852106572745684,0.06746101312759688,6.043364157802181,0.1042463988649923
lstm_dynamics,33,1,3.1593826962755873,0.0,5.7601411358306285,0.0
lstm_dynamics,34,1,3.0791626193306665,0.0,6.638552151228252,0.0
lstm_dynamics,35,1,3.0540247195726864,0.0,5.822414950320595,0.0
lstm_dynamics,36,1,2.9969965436241846,0.0,5.919716841296146,0.0
lstm_dynamics,37,1,2.9547920846319817,0.0,6.140233507281856,0.0
lstm_dynamics,38,1,3.0064648080181766,0.0,6.468465182342027,0.0
lstm_dynamics,39,1,2.933092399851068,0.0,6.37698400334308,0.0
lstm_dynamics,40,1,2.752943333867308,0.0,6.553955104790236,0.0
lstm_dynamics,41,1,2.700581182133068,0.0,6.520743498676701,0.0
lstm_dynamics,42,1,2.702989873173949,0.0,6.388637064318908,0.0
lstm_dynamics,43,1,2.644164599381484,0.0,6.398013574512381,0.0
lstm_dynamics,44,1,2.6322621269659563,0.0,6.5417188249136276,0.0
lstm_dynamics,45,1,2.6049125163586107,0.0,6.173420750781109,0.0
lstm_dynamics,46,1,2.4969013302357164,0.0,6.511559494231877,0.0
lstm_dynamics,47,1,2.4559975552868534,0.0,6.384428030566165,0.0
lstm_dynamics,48,1,2.444950147108598,0.0,6.283941032070863,0.0
