global_step,epoch,batch,samples_seen,batch_size,train_loss,trajectory_loss,control_loss,regularization,lr,elapsed_sec
1,1,1,128,128,146.26622009277344,146.11746215820312,1.4151190519332886,0.724926233291626,0.001,1.6315371990203857
2,1,2,256,128,154.86219787597656,154.70018005371094,1.5462770462036133,0.7387050986289978,0.001,3.0471444129943848
3,1,3,384,128,131.52427673339844,131.38768005371094,1.2906030416488647,0.7535820603370667,0.001,4.4406046867370605
4,1,4,512,128,150.25729370117188,150.10989379882812,1.3968321084976196,0.7721351981163025,0.001,5.785869598388672
5,1,5,640,128,151.88597106933594,151.7366180419922,1.4142345190048218,0.793056070804596,0.001,7.193710803985596
6,1,6,768,128,149.7108917236328,149.57484436035156,1.2790313959121704,0.814459502696991,0.001,8.513623714447021
7,1,7,896,128,146.27243041992188,146.1414337158203,1.2260621786117554,0.839530885219574,0.001,9.885741472244263
8,1,8,1024,128,138.5843048095703,138.4676055908203,1.0806490182876587,0.8635351061820984,0.001,11.257729768753052
9,1,9,1152,128,141.63002014160156,141.52268981933594,0.983389675617218,0.8979954719543457,0.001,12.6662015914917
10,1,10,1280,128,141.02020263671875,140.91505432128906,0.9570991396903992,0.9441166520118713,0.001,13.987388610839844
11,1,11,1408,128,150.032958984375,149.92868041992188,0.9433225989341736,0.9956158995628357,0.001,15.332914352416992
12,1,12,1536,128,146.52496337890625,146.43426513671875,0.8015870451927185,1.0538673400878906,0.001,16.73339581489563
13,1,13,1664,128,141.33499145507812,141.2450408935547,0.7868285179138184,1.1259901523590088,0.001,18.12409281730652
14,1,14,1792,128,139.3507843017578,139.2605743408203,0.7806016802787781,1.2149364948272705,0.001,19.49882435798645
15,1,15,1920,128,136.2027130126953,136.12225341796875,0.672631561756134,1.3203164339065552,0.001,20.85888648033142
16,1,16,2048,128,133.0131378173828,132.93505859375,0.637485682964325,1.432602882385254,0.001,22.266791820526123
17,1,17,2176,128,127.87434387207031,127.79439544677734,0.6391772627830505,1.6031994819641113,0.001,23.590022563934326
18,1,18,2304,128,118.93250274658203,118.85868835449219,0.5640766024589539,1.7410898208618164,0.001,24.919277667999268
19,1,19,2432,128,115.87422943115234,115.79798126220703,0.5634534955024719,1.9908130168914795,0.001,26.337749481201172
20,1,20,2560,128,107.32746124267578,107.26721954345703,0.3834019601345062,2.1901721954345703,0.001,27.75126028060913
21,1,21,2688,128,103.45494079589844,103.39379119873047,0.3660631477832794,2.454660415649414,0.001,29.158044576644897
22,1,22,2816,128,97.20728302001953,97.14692687988281,0.3245336711406708,2.7898266315460205,0.001,30.56963872909546
23,1,23,2944,128,83.91586303710938,83.8485336303711,0.3602006435394287,3.1308248043060303,0.001,31.953483819961548
24,1,24,3072,128,73.73741149902344,73.6874008178711,0.14450374245643616,3.5561790466308594,0.001,33.34436345100403
25,1,25,3200,128,63.096763610839844,63.05463790893555,0.028100907802581787,3.931504011154175,0.001,34.75897264480591
26,1,26,3328,128,55.205047607421875,55.15806198120117,0.02692636288702488,4.42933988571167,0.001,36.17928457260132
27,1,27,3456,128,50.04301071166992,49.9915771484375,0.019459852948784828,4.948668956756592,0.001,37.61868357658386
28,1,28,3584,128,41.077632904052734,41.02023696899414,0.020783541724085808,5.531553268432617,0.001,39.06149625778198
29,1,29,3712,128,41.122711181640625,41.05839157104492,0.022434035316109657,6.20759916305542,0.001,40.50223922729492
30,1,30,3840,128,33.79814147949219,33.72708511352539,0.0212519783526659,6.893263816833496,0.001,41.88425946235657
31,1,31,3968,128,27.960533142089844,27.881223678588867,0.031722020357847214,7.6137800216674805,0.001,43.240288972854614
